feature,gain,share
freshness_hours,1692702.9438877106,0.38450637527315157
exposure_share_1h,932372.5459156036,0.211793326956009
exposure_share_24h,579258.3460006714,0.1315815794919622
hours_since_last_click,179527.71298789978,0.040780664103716044
cos_inf,160039.5733089447,0.03635383069161029
minutes_since_session_start,153321.4892539978,0.03482778256953687
cat_share_medium,128925.20321464539,0.0292860379007566
bm25,125344.94248199463,0.028472762847496183
cat_share_inf,116156.38873672485,0.026385534543584995
session_position,83770.2982006073,0.019028863766661745
cat_share_short,74622.03490638733,0.016950787650585532
cos_medium,67443.1016330719,0.015320055205050512
device_type,66339.80979537964,0.015069436662138799
cos_short,42450.97555351257,0.009642962337739687
