feature,gain,share
freshness_hours,1872189.6220674515,0.29504122910461056
exposure_share_1h_pct,672034.5589008331,0.10590695510848902
freshness_hours_z,485944.2554550171,0.07658069926028445
exposure_share_1h,471214.8741941452,0.07425947351480731
exposure_share_24h_z,341374.8046836853,0.05379777815881523
exposure_share_1h_z,319534.32942295074,0.05035590422190062
exposure_share_24h,307498.2557601929,0.048459120944610475
freshness_hours_pct,259278.47531318665,0.04086009191328374
exposure_share_24h_pct,219109.94806098938,0.03452987220043067
hours_since_last_click,148195.3489265442,0.023354331943465364
cat_share_inf,134203.9847946167,0.021149411447337688
cos_inf,122536.88663864136,0.01931077558511033
cat_share_medium_z,101714.84469795227,0.016029398114454033
device_type,91254.93224906921,0.014381004496163865
bm25_z,72058.49397563934,0.011355808396439153
cat_share_medium,70996.61939620972,0.01118846595560034
cat_share_short_z,70911.97245025635,0.011175126313782193
bm25_pct,68265.96862792969,0.01075813852004971
cat_share_short_pct,66949.24234390259,0.01055063360887266
cat_share_medium_pct,55942.948060035706,0.008816134840626556
cos_medium,53858.7942905426,0.008487689856984778
bm25,48594.63430976868,0.007658102825508921
cat_share_inf_pct,42441.203632354736,0.006688374263361803
cos_inf_z,35849.79668426514,0.005649624350120932
cat_share_inf_z,33933.43110084534,0.005347621363627729
cos_short,29266.255801200867,0.004612114062111358
cat_share_short,26905.576433181763,0.004240090986001626
cos_short_z,25066.442972183228,0.0039502591279330975
minutes_since_session_start,22252.336505889893,0.0035067797811511488
cos_inf_pct,21994.586906433105,0.0034661606271249802
cos_medium_z,18629.75495147705,0.0029358916073531486
session_position,14695.258930206299,0.002315848355141862
cos_medium_pct,11569.50246334076,0.001823255607593522
cos_short_pct,9250.709897994995,0.0014578335368511603
