feature,gain,share
cos_inf,58649.10789871216,0.26808071487629354
freshness_hours,44356.56943130493,0.2027505834042752
exposure_share_1h,34154.883377075195,0.15611943438348208
exposure_share_24h,23527.29535293579,0.10754151910056968
cat_share_inf,18828.465560913086,0.08606351722025238
bm25,13772.152976989746,0.06295148805730014
cos_medium,13064.693370819092,0.059717742758124075
cat_share_medium,6933.354385375977,0.031691847782787684
cos_short,2767.7379150390625,0.012651124380873775
cat_share_short,2719.805316925049,0.012432028036041478
