feature,gain,share
cos_inf,44376.70528411865,0.1187672393611103
freshness_hours,42555.6343460083,0.11389343075780427
bm25_z,37461.07707595825,0.10025865325782936
exposure_share_1h,27289.531116485596,0.07303611778777151
cos_inf_z,26926.301055908203,0.0720639899276353
exposure_share_1h_z,21506.224395751953,0.05755801121806402
exposure_share_1h_pct,16784.48094177246,0.04492101098539396
freshness_hours_z,15944.15998840332,0.04267202473979573
exposure_share_24h,15673.289176940918,0.04194708181546361
cos_medium,14587.358253479004,0.0390407592957837
cat_share_inf,13446.958129882812,0.035988658569075176
exposure_share_24h_z,13294.335372924805,0.03558018787726671
cat_share_inf_pct,9818.991394042969,0.026278978885760793
freshness_hours_pct,9582.805976867676,0.02564686593831085
exposure_share_24h_pct,8712.062019348145,0.023316457329495704
bm25_pct,8523.838233947754,0.02281270611067544
cos_inf_pct,8235.672527313232,0.0220414761323252
cat_share_inf_z,8013.762435913086,0.02144756883854963
bm25,6487.230880737305,0.017362048351053375
cat_share_medium_pct,6326.520965576172,0.016931933658233294
cat_share_medium_z,4420.470642089844,0.011830691158267055
cat_share_short_pct,4138.217224121094,0.01107528448628091
cat_share_short_z,2649.296676635742,0.007090423917640337
cos_medium_pct,1756.1773834228516,0.0047001312585545785
cat_share_medium,1696.5739212036133,0.00454061201036297
cos_short_pct,969.7078018188477,0.002595269699983148
cos_medium_z,893.0309829711914,0.002390056310678486
cos_short,688.3749084472656,0.001842326666621585
cat_share_short,533.2344131469727,0.0014271176459887444
cos_short_z,352.3040084838867,0.0009428860082242003
